"","...1","accuracy","seed","algorithm","dataset","task","SD"
"88",7,99.7526283240569,7,"poissonbalanced","iris","numeric",0
"89",8,99.3815708101422,8,"poissonbalanced","iris","numeric",0
"90",9,99.5052566481138,9,"poissonbalanced","iris","numeric",0
"91",0,99.6289424860854,0,"poissonvolume","iris","numeric",0
"92",1,99.1960420531849,1,"poissonvolume","iris","numeric",0
"93",2,99.5670995670996,2,"poissonvolume","iris","numeric",0
"94",3,99.7526283240569,3,"poissonvolume","iris","numeric",0
"95",4,99.3815708101422,4,"poissonvolume","iris","numeric",0
"96",5,99.443413729128,5,"poissonvolume","iris","numeric",0
"97",6,99.7526283240569,6,"poissonvolume","iris","numeric",0
"98",7,99.5670995670996,7,"poissonvolume","iris","numeric",0
"99",8,99.5052566481138,8,"poissonvolume","iris","numeric",0
"100",9,99.7526283240569,9,"poissonvolume","iris","numeric",0
"101",0,99.6289424860854,0,"poissonmbo","iris","numeric",0
"102",1,99.8144712430427,1,"poissonmbo","iris","numeric",0
"103",2,99.8144712430427,2,"poissonmbo","iris","numeric",0
"104",3,99.6907854050711,3,"poissonmbo","iris","numeric",0
"105",4,99.8144712430427,4,"poissonmbo","iris","numeric",0
"106",5,99.7526283240569,5,"poissonmbo","iris","numeric",0
"107",6,99.8144712430427,6,"poissonmbo","iris","numeric",0
"108",7,99.8763141620285,7,"poissonmbo","iris","numeric",0
"109",8,99.443413729128,8,"poissonmbo","iris","numeric",0
"110",9,99.6289424860854,9,"poissonmbo","iris","numeric",0
"111",0,99.8763141620285,0,"sparselabelpropagation","iris","numeric",0
"112",1,99.8144712430427,1,"sparselabelpropagation","iris","numeric",0
"113",2,99.8144712430427,2,"sparselabelpropagation","iris","numeric",0
"114",3,99.7526283240569,3,"sparselabelpropagation","iris","numeric",0
"115",4,99.5670995670996,4,"sparselabelpropagation","iris","numeric",0
"116",5,99.8144712430427,5,"sparselabelpropagation","iris","numeric",0
"117",6,99.7526283240569,6,"sparselabelpropagation","iris","numeric",0
"118",7,99.7526283240569,7,"sparselabelpropagation","iris","numeric",0
"119",8,99.8144712430427,8,"sparselabelpropagation","iris","numeric",0
"120",9,99.443413729128,9,"sparselabelpropagation","iris","numeric",0
"121",0,99.7526283240569,0,"centeredkernel","iris","numeric",0
"122",1,99.6289424860854,1,"centeredkernel","iris","numeric",0
"123",2,99.6907854050711,2,"centeredkernel","iris","numeric",0
"124",3,99.7526283240569,3,"centeredkernel","iris","numeric",0
"125",4,99.6907854050711,4,"centeredkernel","iris","numeric",0
"126",5,99.6907854050711,5,"centeredkernel","iris","numeric",0
"127",6,99.8144712430427,6,"centeredkernel","iris","numeric",0
"128",7,99.9381570810142,7,"centeredkernel","iris","numeric",0
"129",8,99.7526283240569,8,"centeredkernel","iris","numeric",0
"130",9,99.6907854050711,9,"centeredkernel","iris","numeric",0
"131",0,55.1063829787234,0,"laplace","german","numeric",0
"132",1,60,1,"laplace","german","numeric",0
"133",2,58.2978723404255,2,"laplace","german","numeric",0
"134",3,56.3829787234043,3,"laplace","german","numeric",0
"135",4,58.7234042553191,4,"laplace","german","numeric",0
"136",5,63.4042553191489,5,"laplace","german","numeric",0
"137",6,59.1489361702128,6,"laplace","german","numeric",0
"138",7,57.8723404255319,7,"laplace","german","numeric",0
"139",8,60.4255319148936,8,"laplace","german","numeric",0
"140",9,58.7234042553191,9,"laplace","german","numeric",0
"141",0,59.1489361702128,0,"randomwalk","german","numeric",0
"142",1,56.8085106382979,1,"randomwalk","german","numeric",0
"143",2,62.9787234042553,2,"randomwalk","german","numeric",0
"144",3,60.2127659574468,3,"randomwalk","german","numeric",0
"145",4,60,4,"randomwalk","german","numeric",0
"146",5,58.7234042553191,5,"randomwalk","german","numeric",0
"147",6,61.063829787234,6,"randomwalk","german","numeric",0
"148",7,57.8723404255319,7,"randomwalk","german","numeric",0
"149",8,58.936170212766,8,"randomwalk","german","numeric",0
"150",9,59.7872340425532,9,"randomwalk","german","numeric",0
"151",0,58.2978723404255,0,"wnll","german","numeric",0
"152",1,58.2978723404255,1,"wnll","german","numeric",0
"153",2,57.8723404255319,2,"wnll","german","numeric",0
"154",3,62.1276595744681,3,"wnll","german","numeric",0
"155",4,59.7872340425532,4,"wnll","german","numeric",0
"156",5,57.8723404255319,5,"wnll","german","numeric",0
"157",6,57.0212765957447,6,"wnll","german","numeric",0
"158",7,57.0212765957447,7,"wnll","german","numeric",0
"159",8,59.5744680851064,8,"wnll","german","numeric",0
"160",9,60,9,"wnll","german","numeric",0
"161",0,61.063829787234,0,"mean_shifted_laplace","german","numeric",0
"162",1,58.2978723404255,1,"mean_shifted_laplace","german","numeric",0
"163",2,57.6595744680851,2,"mean_shifted_laplace","german","numeric",0
"164",3,57.4468085106383,3,"mean_shifted_laplace","german","numeric",0
"165",4,62.5531914893617,4,"mean_shifted_laplace","german","numeric",0
"166",5,62.1276595744681,5,"mean_shifted_laplace","german","numeric",0
"167",6,55.3191489361702,6,"mean_shifted_laplace","german","numeric",0
"168",7,57.4468085106383,7,"mean_shifted_laplace","german","numeric",0
"169",8,59.7872340425532,8,"mean_shifted_laplace","german","numeric",0
"170",9,61.063829787234,9,"mean_shifted_laplace","german","numeric",0
"171",0,61.9148936170213,0,"poissonmbo_old","german","numeric",0
"172",1,60.6382978723404,1,"poissonmbo_old","german","numeric",0
"173",2,60.6382978723404,2,"poissonmbo_old","german","numeric",0
"174",3,58.0851063829787,3,"poissonmbo_old","german","numeric",0
"175",4,60.6382978723404,4,"poissonmbo_old","german","numeric",0
"176",5,58.0851063829787,5,"poissonmbo_old","german","numeric",0
"177",6,58.936170212766,6,"poissonmbo_old","german","numeric",0
"178",7,60.2127659574468,7,"poissonmbo_old","german","numeric",0
"179",8,61.7021276595745,8,"poissonmbo_old","german","numeric",0
"180",9,59.7872340425532,9,"poissonmbo_old","german","numeric",0
"181",0,56.8085106382979,0,"poissonmbobalanced","german","numeric",0
"182",1,56.1702127659575,1,"poissonmbobalanced","german","numeric",0
"183",2,58.936170212766,2,"poissonmbobalanced","german","numeric",0
"184",3,61.063829787234,3,"poissonmbobalanced","german","numeric",0
"185",4,59.7872340425532,4,"poissonmbobalanced","german","numeric",0
"186",5,55.3191489361702,5,"poissonmbobalanced","german","numeric",0
"187",6,59.7872340425532,6,"poissonmbobalanced","german","numeric",0
"188",7,56.5957446808511,7,"poissonmbobalanced","german","numeric",0
"189",8,58.7234042553191,8,"poissonmbobalanced","german","numeric",0
"190",9,64.0425531914894,9,"poissonmbobalanced","german","numeric",0
"191",0,62.7659574468085,0,"poisson2","german","numeric",0
"192",1,61.9148936170213,1,"poisson2","german","numeric",0
"193",2,64.468085106383,2,"poisson2","german","numeric",0
"194",3,58.7234042553191,3,"poisson2","german","numeric",0
"195",4,52.5531914893617,4,"poisson2","german","numeric",0
"196",5,66.1702127659575,5,"poisson2","german","numeric",0
"197",6,60,6,"poisson2","german","numeric",0
"198",7,61.7021276595745,7,"poisson2","german","numeric",0
"199",8,46.8085106382979,8,"poisson2","german","numeric",0
"200",9,60,9,"poisson2","german","numeric",0
"201",0,61.063829787234,0,"poisson","german","numeric",0
"202",1,61.9148936170213,1,"poisson","german","numeric",0
"203",2,61.9148936170213,2,"poisson","german","numeric",0
"204",3,59.5744680851064,3,"poisson","german","numeric",0
"205",4,60.2127659574468,4,"poisson","german","numeric",0
"206",5,62.3404255319149,5,"poisson","german","numeric",0
"207",6,58.936170212766,6,"poisson","german","numeric",0
"208",7,60.2127659574468,7,"poisson","german","numeric",0
"209",8,55.1063829787234,8,"poisson","german","numeric",0
"210",9,62.5531914893617,9,"poisson","german","numeric",0
"211",0,62.1276595744681,0,"poissonbalanced","german","numeric",0
"212",1,61.9148936170213,1,"poissonbalanced","german","numeric",0
"213",2,62.5531914893617,2,"poissonbalanced","german","numeric",0
"214",3,60.2127659574468,3,"poissonbalanced","german","numeric",0
"215",4,57.6595744680851,4,"poissonbalanced","german","numeric",0
"216",5,62.7659574468085,5,"poissonbalanced","german","numeric",0
"217",6,62.1276595744681,6,"poissonbalanced","german","numeric",0
"218",7,61.7021276595745,7,"poissonbalanced","german","numeric",0
"219",8,61.4893617021277,8,"poissonbalanced","german","numeric",0
"220",9,61.4893617021277,9,"poissonbalanced","german","numeric",0
"221",0,57.4468085106383,0,"poissonvolume","german","numeric",0
"222",1,61.9148936170213,1,"poissonvolume","german","numeric",0
"223",2,62.9787234042553,2,"poissonvolume","german","numeric",0
"224",3,61.063829787234,3,"poissonvolume","german","numeric",0
"225",4,59.3617021276596,4,"poissonvolume","german","numeric",0
"226",5,57.8723404255319,5,"poissonvolume","german","numeric",0
"227",6,62.5531914893617,6,"poissonvolume","german","numeric",0
"228",7,60.4255319148936,7,"poissonvolume","german","numeric",0
"229",8,60.6382978723404,8,"poissonvolume","german","numeric",0
"230",9,61.063829787234,9,"poissonvolume","german","numeric",0
"231",0,55.3191489361702,0,"poissonmbo","german","numeric",0
"232",1,60.2127659574468,1,"poissonmbo","german","numeric",0
"233",2,60.6382978723404,2,"poissonmbo","german","numeric",0
"234",3,59.7872340425532,3,"poissonmbo","german","numeric",0
"235",4,57.6595744680851,4,"poissonmbo","german","numeric",0
"236",5,59.7872340425532,5,"poissonmbo","german","numeric",0
"237",6,58.2978723404255,6,"poissonmbo","german","numeric",0
"238",7,62.7659574468085,7,"poissonmbo","german","numeric",0
"239",8,59.5744680851064,8,"poissonmbo","german","numeric",0
"240",9,63.4042553191489,9,"poissonmbo","german","numeric",0
"241",0,62.7659574468085,0,"sparselabelpropagation","german","numeric",0
"242",1,55.9574468085106,1,"sparselabelpropagation","german","numeric",0
"243",2,61.9148936170213,2,"sparselabelpropagation","german","numeric",0
"244",3,57.4468085106383,3,"sparselabelpropagation","german","numeric",0
"245",4,62.3404255319149,4,"sparselabelpropagation","german","numeric",0
"246",5,58.2978723404255,5,"sparselabelpropagation","german","numeric",0
"247",6,54.8936170212766,6,"sparselabelpropagation","german","numeric",0
"248",7,60.2127659574468,7,"sparselabelpropagation","german","numeric",0
"249",8,54.0425531914894,8,"sparselabelpropagation","german","numeric",0
"250",9,60.8510638297872,9,"sparselabelpropagation","german","numeric",0
"251",0,53.6170212765957,0,"centeredkernel","german","numeric",0
"252",1,59.1489361702128,1,"centeredkernel","german","numeric",0
"253",2,61.7021276595745,2,"centeredkernel","german","numeric",0
"254",3,61.7021276595745,3,"centeredkernel","german","numeric",0
"255",4,57.2340425531915,4,"centeredkernel","german","numeric",0
"256",5,60.6382978723404,5,"centeredkernel","german","numeric",0
"257",6,56.8085106382979,6,"centeredkernel","german","numeric",0
"258",7,54.0425531914894,7,"centeredkernel","german","numeric",0
"259",8,61.9148936170213,8,"centeredkernel","german","numeric",0
"260",9,60,9,"centeredkernel","german","numeric",0
"261",0,99.9381570810142,0,"laplace","wine","numeric",0
"262",1,99.8144712430427,1,"laplace","wine","numeric",0
"263",2,99.8144712430427,2,"laplace","wine","numeric",0
"264",3,99.7526283240569,3,"laplace","wine","numeric",0
"265",4,99.7526283240569,4,"laplace","wine","numeric",0
"266",5,99.8763141620285,5,"laplace","wine","numeric",0
"267",6,99.8144712430427,6,"laplace","wine","numeric",0
"268",7,99.8144712430427,7,"laplace","wine","numeric",0
"269",8,99.8763141620285,8,"laplace","wine","numeric",0
"270",9,99.8144712430427,9,"laplace","wine","numeric",0
"271",0,99.3815708101422,0,"randomwalk","wine","numeric",0
"272",1,99.7526283240569,1,"randomwalk","wine","numeric",0
"273",2,99.5670995670996,2,"randomwalk","wine","numeric",0
"274",3,99.5052566481138,3,"randomwalk","wine","numeric",0
"275",4,99.443413729128,4,"randomwalk","wine","numeric",0
"276",5,99.6289424860854,5,"randomwalk","wine","numeric",0
"277",6,99.5052566481138,6,"randomwalk","wine","numeric",0
"278",7,99.5052566481138,7,"randomwalk","wine","numeric",0
"279",8,99.5052566481138,8,"randomwalk","wine","numeric",0
"280",9,99.5670995670996,9,"randomwalk","wine","numeric",0
"281",0,99.8763141620285,0,"wnll","wine","numeric",0
"282",1,99.8144712430427,1,"wnll","wine","numeric",0
"283",2,99.6289424860854,2,"wnll","wine","numeric",0
"284",3,99.8144712430427,3,"wnll","wine","numeric",0
"285",4,99.8763141620285,4,"wnll","wine","numeric",0
"286",5,99.8763141620285,5,"wnll","wine","numeric",0
"287",6,99.8763141620285,6,"wnll","wine","numeric",0
"288",7,99.8144712430427,7,"wnll","wine","numeric",0
"289",8,99.8763141620285,8,"wnll","wine","numeric",0
"290",9,99.6907854050711,9,"wnll","wine","numeric",0
"291",0,99.8763141620285,0,"mean_shifted_laplace","wine","numeric",0
"292",1,99.8763141620285,1,"mean_shifted_laplace","wine","numeric",0
"293",2,99.6907854050711,2,"mean_shifted_laplace","wine","numeric",0
"294",3,99.7526283240569,3,"mean_shifted_laplace","wine","numeric",0
"295",4,99.9381570810142,4,"mean_shifted_laplace","wine","numeric",0
"296",5,99.7526283240569,5,"mean_shifted_laplace","wine","numeric",0
"297",6,99.8763141620285,6,"mean_shifted_laplace","wine","numeric",0
"298",7,99.7526283240569,7,"mean_shifted_laplace","wine","numeric",0
"299",8,100,8,"mean_shifted_laplace","wine","numeric",0
"300",9,99.6907854050711,9,"mean_shifted_laplace","wine","numeric",0
"301",0,99.8763141620285,0,"poissonmbo_old","wine","numeric",0
"302",1,99.6907854050711,1,"poissonmbo_old","wine","numeric",0
"303",2,99.6907854050711,2,"poissonmbo_old","wine","numeric",0
"304",3,99.6289424860854,3,"poissonmbo_old","wine","numeric",0
"305",4,99.8763141620285,4,"poissonmbo_old","wine","numeric",0
"306",5,99.6907854050711,5,"poissonmbo_old","wine","numeric",0
"307",6,99.7526283240569,6,"poissonmbo_old","wine","numeric",0
"308",7,99.7526283240569,7,"poissonmbo_old","wine","numeric",0
"309",8,99.5670995670996,8,"poissonmbo_old","wine","numeric",0
"310",9,99.5670995670996,9,"poissonmbo_old","wine","numeric",0
"311",0,99.6907854050711,0,"poissonmbobalanced","wine","numeric",0
"312",1,99.7526283240569,1,"poissonmbobalanced","wine","numeric",0
"313",2,99.6907854050711,2,"poissonmbobalanced","wine","numeric",0
"314",3,99.9381570810142,3,"poissonmbobalanced","wine","numeric",0
"315",4,99.7526283240569,4,"poissonmbobalanced","wine","numeric",0
"316",5,99.5052566481138,5,"poissonmbobalanced","wine","numeric",0
"317",6,99.6907854050711,6,"poissonmbobalanced","wine","numeric",0
"318",7,99.6907854050711,7,"poissonmbobalanced","wine","numeric",0
"319",8,99.9381570810142,8,"poissonmbobalanced","wine","numeric",0
"320",9,99.5670995670996,9,"poissonmbobalanced","wine","numeric",0
"321",0,99.443413729128,0,"poisson2","wine","numeric",0
"322",1,99.3815708101422,1,"poisson2","wine","numeric",0
"323",2,99.3815708101422,2,"poisson2","wine","numeric",0
"324",3,99.5052566481138,3,"poisson2","wine","numeric",0
"325",4,99.5670995670996,4,"poisson2","wine","numeric",0
"326",5,99.3815708101422,5,"poisson2","wine","numeric",0
"327",6,99.3815708101422,6,"poisson2","wine","numeric",0
"328",7,99.3815708101422,7,"poisson2","wine","numeric",0
"329",8,99.5052566481138,8,"poisson2","wine","numeric",0
"330",9,99.5052566481138,9,"poisson2","wine","numeric",0
"331",0,99.443413729128,0,"poisson","wine","numeric",0
"332",1,99.8763141620285,1,"poisson","wine","numeric",0
"333",2,99.6907854050711,2,"poisson","wine","numeric",0
"334",3,99.5670995670996,3,"poisson","wine","numeric",0
"335",4,99.8144712430427,4,"poisson","wine","numeric",0
"336",5,99.5670995670996,5,"poisson","wine","numeric",0
"337",6,99.6289424860854,6,"poisson","wine","numeric",0
"338",7,99.6907854050711,7,"poisson","wine","numeric",0
"339",8,99.6289424860854,8,"poisson","wine","numeric",0
"340",9,99.8144712430427,9,"poisson","wine","numeric",0
"341",0,99.5670995670996,0,"poissonbalanced","wine","numeric",0
"342",1,99.8144712430427,1,"poissonbalanced","wine","numeric",0
